央视,#genre#
CCTV5,http://111.199.3.230:8686/rtp/239.3.1.89:4120
CCTV5,http://42.227.89.86:9003/hls/5/index.m3u8
CCTV5,http://171.43.64.195:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://220.187.221.205:85/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://1.197.203.33:85/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://1.197.203.33:85/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://115.227.214.223:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://114.245.199.54:85/tsfile/live/5/1005_1.m3u8?key=txiptv
CCTV5+,http://114.245.199.54:85/tsfile/live/23/1023_1.m3u8?key=txiptv
CCTV5,http://123.55.237.68:85/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://123.55.237.68:85/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://171.124.177.38:9999/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://60.25.222.180:85/tsfile/live/49/1011.m3u8?key=txiptv
CCTV5+,http://60.25.222.180:85/tsfile/live/101/1024.m3u8?key=txiptv
CCTV5,http://60.187.244.160:85/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://123.120.0.171:4022/rtp/239.3.1.174:8001
CCTV6,http://113.25.105.225:10000/rtp/239.1.1.13:8013
CCTV6,http://123.14.80.113:9003/hls/6/index.m3u8
CCTV6,http://115.58.142.128:4000/rtp/225.1.4.160:1196
CCTV6,http://114.250.17.90:4022/rtp/239.3.1.174:8001
CCTV6,http://123.112.242.16:5555/rtp/239.3.1.174:8001
CCTV6,http://171.124.1.122:8083/rtp/226.0.2.210:9592
CCTV6,http://171.124.1.122:8083/rtp/226.0.2.23:8096
CCTV6,http://27.10.213.135:8005/rtp/225.0.4.144:7980
CCTV6,http://27.10.213.135:8005/rtp/225.0.4.140:7980
CCTV6,http://42.237.223.102:8899/rtp/225.1.4.160:1196
CCTV6,http://111.199.3.230:8686/rtp/239.3.1.174:8001
CCTV6,http://42.227.89.86:9003/hls/6/index.m3u8
CCTV6,http://171.43.64.195:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://220.187.221.205:85/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://1.197.203.33:85/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://115.227.214.223:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://114.245.199.54:85/tsfile/live/6/1006_1.m3u8?key=txiptv
CCTV6,http://123.55.237.68:85/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://171.124.177.38:9999/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://60.25.222.180:85/tsfile/live/53/1012.m3u8?key=txiptv
CCTV6,http://60.187.244.160:85/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://123.120.0.171:4022/rtp/239.3.1.61:8104
CCTV7,http://113.25.105.225:10000/rtp/239.1.1.14:8014
CCTV7,http://123.14.80.113:9003/hls/7/index.m3u8
CCTV7,http://115.58.142.128:4000/rtp/225.1.4.76:1105
CCTV7,http://115.58.142.128:4000/rtp/225.1.4.7:1036
CCTV7,http://114.250.17.90:4022/rtp/239.3.1.61:8104
CCTV7,http://123.112.242.16:5555/rtp/239.3.1.61:8104
CCTV7,http://171.124.1.122:8083/rtp/226.0.2.159:9184
CCTV7,http://171.124.1.122:8083/rtp/226.0.2.24:8104
CCTV7,http://27.10.213.135:8005/rtp/225.0.4.127:7980
CCTV7,http://27.10.213.135:8005/rtp/225.0.4.4:7980
